Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Mean_Time,Std_Time,Max_Time,Min_Time
Coworker Encryption,5,2,IBAN-NIF,10,195.4934199961523,7.9759342719408055,213.55330012738705,185.65479991957545
Coworker Encryption,5,2,IBAN-NIF,100,209.8588599745805,12.57263138479385,256.9175998214632,197.41689995862544
Coworker Encryption,5,2,IBAN-NIF,1000,360.8206766657531,70.39680610979312,547.113899840042,287.67170011997223
Coworker Encryption,5,2,IBAN-NIF,2000,452.4822566891089,63.83292612130092,726.2996998615563,396.61889988929033
Coworker Encryption,5,2,IBAN-NIF,5000,1001.3307833733658,241.82390270680196,1963.2745999842882,820.3096999786794
Coworker Encryption,5,2,IBAN-NIF,10000,2025.8684599927317,385.6598355478863,3043.830299982801,1603.9819000288844
Coworker,5,0,-,10,196.938856667839,8.225242647742732,223.83410017937422,185.50439993850887
Coworker,5,0,-,100,201.54761333639422,5.1788040274721565,217.76150004006922,195.4554000403732
Coworker,5,0,-,1000,236.25344334480664,35.96176928163777,292.05669998191297,197.7351000532508
Coworker,5,0,-,2000,226.2099133183559,15.083528173146812,270.0653998181224,214.11379985511303
Coworker,5,0,-,5000,367.54513333241147,21.966743770512295,416.74300003796816,337.1646001469344
Coworker,5,0,-,10000,552.7260300082465,43.39103953275222,667.3690001480281,480.64110008999705
